1,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52688,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:27:00.150851,2023-02-14 09:27:01.188565,svchost.exe,5000,Benign,0.94
2,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52660,TCP,2023-02-14 09:26:54.974125,2023-02-14 09:27:05.027980,msedge.exe,18260,Benign,0.99
3,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52659,TCP,2023-02-14 09:26:54.980163,2023-02-14 09:27:05.102187,msedge.exe,18260,Benign,0.98
4,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52659,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:27:05.102203,2023-02-14 09:27:06.586040,msedge.exe,18260,Benign,0.91
5,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52660,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:27:05.028020,2023-02-14 09:27:06.586143,msedge.exe,18260,Benign,0.92
6,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52685,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:26:56.838183,2023-02-14 09:27:06.924409,msedge.exe,18260,Benign,0.98
7,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52685,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:27:06.924497,2023-02-14 09:27:07.052195,msedge.exe,18260,Benign,0.9
8,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52690,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:27:00.731282,2023-02-14 09:27:10.905587,msedge.exe,18260,Benign,0.99
9,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52690,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:27:10.905618,2023-02-14 09:27:11.187400,msedge.exe,18260,Benign,0.93
10,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52701,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:27:11.188258,2023-02-14 09:27:11.421252,msedge.exe,18260,Benign,0.98
11,"10.61.223.100 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",52686,"10.61.11.42 <img src=""static/images/lan.gif"" height=""11px"" style=""margin-bottom: 0px"" title=""LAN"">",3128,TCP,2023-02-14 09:26:56.838861,2023-02-14 09:27:13.480952,msedge.exe,18260,Benign,0.96
